Período estadístico,Capacidad total de la cadena (kWp),Rendimiento fotovoltaico (kWh),Rendimiento del inversor(kWh),Rendimiento total(kWh),Consumo (kWh),Autoconsumo (kWh),Tasa de autoconsumo (%),Ganancia (€)
2025-01-01,"30,94","42,56","42,56","71.087,22","157,47","39,94","93,84","0,31"
2025-01-02,"30,94","48,86","48,86","71.136,08","159,55","45,43","92,98","0,42"
2025-01-03,"30,94","36,48","36,48","71.172,56","189,5","36,26","99,4","0,02"
2025-01-04,"30,94","44,18","44,18","71.216,74","201,76","43,75","99,03","0,05"
2025-01-05,"30,94","41,99","41,99","71.258,73","199,49","41,85","99,67","0,02"
2025-01-06,"30,94","40,55","40,55","71.299,28","191,55","37,92","93,51","0,31"
2025-01-07,"30,94","53,26","53,26","71.352,54","200,19","51,36","96,43","0,23"
2025-01-08,"30,94","47,81","47,81","71.400,35","467,6","47,81",100,0
2025-01-09,"30,94","52,03","52,03","71.452,38","461,78","52,03",100,0
2025-01-10,"30,94","49,33","49,33","71.501,71","425,97","49,33",100,0
2025-01-11,"30,94","40,03","40,03","71.541,74","201,4","38,54","96,28","0,18"
2025-01-12,"30,94",57,57,"71.598,74","214,71","55,13","96,72","0,22"
2025-01-13,"30,94","55,89","55,89","71.654,63",491,"55,89",100,0
2025-01-14,"30,94","57,49","57,49","71.712,12","484,29","57,49",100,0
2025-01-15,"30,94","55,58","55,58","71.767,70","479,75","55,58",100,0
2025-01-16,"30,94","40,94","40,94","71.808,64","490,8","40,94",100,0
2025-01-17,"30,94","52,9","52,9","71.861,54","430,68","52,9",100,0
2025-01-18,"30,94","56,17","56,17","71.917,71","198,59",53,"94,36","0,38"
2025-01-19,"30,94","35,53","35,53","71.953,24","202,16","35,33","99,44","0,02"
2025-01-20,"30,94",32,32,"71.985,24","488,39",32,100,0
2025-01-21,"30,94","30,24","30,24","72.015,48","500,34","30,24",100,0
2025-01-22,"30,94","5,87","5,87","72.021,35","165,55","5,87",100,0
